"Benchmark","# Threads","L2 Size","L2 Replacement Policy","L2 Size+L2 Replacement Policy","Min NVM Partition Size","Max NVM Partition Size","Min:Max NVM Partition Size","L2 Miss Rate","# Cycles","Committed Insts","Simulation Time","IPC","# Near Memory Pages","# Far Memory Pages","Near:Far Memory Page Ratio","system.perPhaseNearFarMemoryBwRatioHist.mean","system.perPhaseNearFarMemoryBwRatioHist.stdev"
"400.perlbench","1","256kB","LRU","256kB+LRU","-1","-1","-1:-1","0.024518","365189782","100000001","94.29","0.27383022726523054","7082","1679","4.217986896962477","4.0","2.0"
"400.perlbench","1","1MB","LRU","1MB+LRU","-1","-1","-1:-1","0.021929","365064238","100000001","94.50","0.2739243962866612","7082","1679","4.217986896962477","4.0","2.0"
"400.perlbench","1","4MB","LRU","4MB+LRU","-1","-1","-1:-1","0.012380","364609936","100000001","93.99","0.27426570459670635","7082","1679","4.217986896962477","4.0","2.0"
"403.gcc","1","256kB","LRU","256kB+LRU","-1","-1","-1:-1","0.973181","620507796","100000001","92.91","0.16115833136123886","13865","3496","3.9659610983981692","4.0","0.0"
"403.gcc","1","1MB","LRU","1MB+LRU","-1","-1","-1:-1","0.699598","551612802","100000001","91.36","0.18128658478814638","13865","3496","3.9659610983981692","4.0","0.0"
"403.gcc","1","4MB","LRU","4MB+LRU","-1","-1","-1:-1","0.624255","532705948","100000001","91.22","0.18772082680030447","13865","3496","3.9659610983981692","4.0","0.0"
"429.mcf","1","256kB","LRU","256kB+LRU","-1","-1","-1:-1","0.709581","1400173116","100000001","122.15","0.07141974078582437","343782","85537","4.0191028443831325","4.0","0.0"
"429.mcf","1","1MB","LRU","1MB+LRU","-1","-1","-1:-1","0.642024","1321873010","100000001","121.55","0.0756502328464971","343782","85537","4.0191028443831325","4.0","0.0"
"429.mcf","1","4MB","LRU","4MB+LRU","-1","-1","-1:-1","0.536429","1199958200","100000001","122.41","0.08333623704559043","343782","85537","4.0191028443831325","4.0","0.0"
"433.milc","1","256kB","LRU","256kB+LRU","-1","-1","-1:-1","0.997628","579817268","100000000","84.45","0.1724681300799065","110786","27667","4.004265008855315","4.0","0.0"
"433.milc","1","1MB","LRU","1MB+LRU","-1","-1","-1:-1","0.997620","579815994","100000000","84.03","0.17246850903529923","110786","27667","4.004265008855315","4.0","0.0"
"433.milc","1","4MB","LRU","4MB+LRU","-1","-1","-1:-1","0.997615","579815112","100000000","85.02","0.1724687713900082","110786","27667","4.004265008855315","4.0","0.0"
"435.gromacs","1","256kB","LRU","256kB+LRU","-1","-1","-1:-1","0.092381","457703226","100000001","95.77","0.2184821852227889","3499","886","3.94920993227991","4.0","0.0"
"435.gromacs","1","1MB","LRU","1MB+LRU","-1","-1","-1:-1","0.004731","442717440","100000001","96.41","0.22587770881580813","3499","886","3.94920993227991","5.0","3.0"
"435.gromacs","1","4MB","LRU","4MB+LRU","-1","-1","-1:-1","0.003345","442472606","100000001","95.42","0.22600269405152734","3499","886","3.94920993227991","13.0","24.0"
"437.leslie3d","1","256kB","LRU","256kB+LRU","-1","-1","-1:-1","0.492465","786570720","100000000","100.64","0.1271341501244796","25432","6439","3.949681627581923","4.0","0.0"
"437.leslie3d","1","1MB","LRU","1MB+LRU","-1","-1","-1:-1","0.471293","774054702","100000000","100.78","0.12918983599172038","25432","6439","3.949681627581923","4.0","0.0"
"437.leslie3d","1","4MB","LRU","4MB+LRU","-1","-1","-1:-1","0.441482","757355552","100000000","101.51","0.13203837977542152","25432","6439","3.949681627581923","4.0","0.0"
"444.namd","1","256kB","LRU","256kB+LRU","-1","-1","-1:-1","0.503155","348526459","100000001","87.41","0.2869222649176257","2336","598","3.9063545150501673","4.0","3.0"
"444.namd","1","1MB","LRU","1MB+LRU","-1","-1","-1:-1","0.502827","348525183","100000001","89.90","0.28692331538062776","2336","598","3.9063545150501673","5.0","3.0"
"444.namd","1","4MB","LRU","4MB+LRU","-1","-1","-1:-1","0.502827","348525183","100000001","88.05","0.28692331538062776","2336","598","3.9063545150501673","35.0","105.0"
"445.gobmk","1","256kB","LRU","256kB+LRU","-1","-1","-1:-1","0.132149","379387926","100000000","92.92","0.2635824525422562","6175","1517","4.070533948582729","4.0","0.0"
"445.gobmk","1","1MB","LRU","1MB+LRU","-1","-1","-1:-1","0.039360","370283922","100000000","91.68","0.2700630355751714","6175","1517","4.070533948582729","4.0","1.0"
"445.gobmk","1","4MB","LRU","4MB+LRU","-1","-1","-1:-1","0.020723","368675028","100000000","92.25","0.2712415878625769","6175","1517","4.070533948582729","4.0","1.0"
"450.soplex","1","256kB","LRU","256kB+LRU","-1","-1","-1:-1","0.613755","328468908","100000001","86.08","0.30444282111474613","5774","1418","4.071932299012694","4.0","1.0"
"450.soplex","1","1MB","LRU","1MB+LRU","-1","-1","-1:-1","0.507095","326325590","100000001","90.45","0.3064424123158714","5774","1418","4.071932299012694","4.0","1.0"
"450.soplex","1","4MB","LRU","4MB+LRU","-1","-1","-1:-1","0.395482","324213364","100000001","88.17","0.30843886188479264","5774","1418","4.071932299012694","4.0","1.0"
"456.hmmer","1","256kB","LRU","256kB+LRU","-1","-1","-1:-1","0.286561","465376905","100000000","95.62","0.21487959313322608","713","185","3.854054054054054","5.0","0.0"
"456.hmmer","1","1MB","LRU","1MB+LRU","-1","-1","-1:-1","0.054387","438798163","100000000","96.08","0.22789521112922254","713","185","3.854054054054054","8.0","16.0"
"456.hmmer","1","4MB","LRU","4MB+LRU","-1","-1","-1:-1","","432512271","100000000","96.09","0.23120731295968247","713","185","3.854054054054054","0.0","0.0"
"458.sjeng","1","256kB","LRU","256kB+LRU","-1","-1","-1:-1","0.093451","352201206","100000000","89.18","0.2839286132370597","36024","8923","4.037207217303598","4.0","0.0"
"458.sjeng","1","1MB","LRU","1MB+LRU","-1","-1","-1:-1","0.087108","351920964","100000000","85.84","0.2841547115107357","36024","8923","4.037207217303598","4.0","0.0"
"458.sjeng","1","4MB","LRU","4MB+LRU","-1","-1","-1:-1","0.081447","351669106","100000000","88.37","0.28435821712470816","36024","8923","4.037207217303598","4.0","0.0"
"459.GemsFDTD","1","256kB","LRU","256kB+LRU","-1","-1","-1:-1","0.000553","341944256","100000001","89.39","0.29244533062137473","466","102","4.568627450980392","10.0","6.0"
"459.GemsFDTD","1","1MB","LRU","1MB+LRU","-1","-1","-1:-1","","341932001","100000001","90.15","0.2924558119963741","466","102","4.568627450980392","0.0","0.0"
"459.GemsFDTD","1","4MB","LRU","4MB+LRU","-1","-1","-1:-1","","341932001","100000001","90.54","0.2924558119963741","466","102","4.568627450980392","0.0","0.0"
"462.libquantum","1","256kB","LRU","256kB+LRU","-1","-1","-1:-1","0.997073","428608013","100000001","79.06","0.2333134191777231","7006","1810","3.870718232044199","4.0","0.0"
"462.libquantum","1","1MB","LRU","1MB+LRU","-1","-1","-1:-1","0.958117","424998361","100000001","78.85","0.23529502740835276","7006","1810","3.870718232044199","4.0","0.0"
